Title,Number of Units,Quarter
Deep Multi-task and Meta Learning,3,2023-2024 Autumn
Language Modeling from Scratch,3,2023-2024 Spring
Collaborative Robotics (ME 326),3,2023-2024 Winter
Rusty Systems,3,2023-2024 Spring
Building for Digital Health (MED 253),4,2023-2024 Winter
Human-Computer Interaction: Foundations and Frontiers,4,2023-2024 Spring
Computer Graphics: Animation and Simulation,3,2023-2024 Winter
Visual Computing Systems,4,2023-2024 Spring
Cloud Computing Technology,3,2023-2024 Spring
Software Techniques for Emerging Hardware Platforms (EE 292Y),3,2023-2024 Autumn
Seminar on Logic & Formal Philosophy (PHIL 391),4,2023-2024 Winter
Advanced Topics in Cryptography,3,2023-2024 Spring
Engineering Design Optimization (AA 222),4,2023-2024 Spring
Computational Social Choice (MS&E 336),3,2023-2024 Winter
Artificial Intelligence for Precision Medicine and Psychiatric Disorders,3,2023-2024 Spring
Designing Serious Games,4,2023-2024 Autumn
Designing for Accessibility (ME 214),4,2023-2024 Spring
Understanding Users,4,2023-2024 Spring
Curricular Practical Training,1,2023-2024 Winter
Curricular Practical Training,1,2023-2024 Spring
Independent Project,9,2023-2024 Spring
Interactive and Embodied Learning (EDUC 234A),3,2023-2024 Winter
Computer Vision for Education and Social Science Research (EDUC 463),3,2023-2024 Winter
Computational Imaging (EE 367),3,2023-2024 Winter
Music and AI (MUSIC 356),4,2023-2024 Winter
Introduction to CSCL: Computer-Supported Collaborative Learning (EDUC 315A),3,2023-2024 Winter
Advanced Reading and Research,15,2023-2024 Summer
Seminar in Artificial Intelligence in Healthcare,1,2023-2024 Autumn
Machine Learning Systems Seminar,1,2023-2024 Winter
Human-Computer Interaction Seminar,1,2023-2024 Autumn
TGR Dissertation,0,2023-2024 Summer
